seq_index;gene_name;score;offset;insertions;deletions;mismatches;length;5_p_align_offset;3_p_align_offset
37;X61443|TRBV7-2*02|Homo sapiens|F|V-REGION|192..475|284 nt|1| | | | |284+0=284| Extended by 6 | |;69;-234;{};{};{4,6,7,12,16,26,30,35,36,49,51,52,53,54,55};49;0;48
37;U07975|TRBV7-2*03|Homo sapiens|F|V-REGION|7806..8090|285 nt|1| | | | |285+0=285| Extended by 2 | |;50;-231;{};{};{4,6,7,12,16,26,30,35,36,42,49,51,52,53,54,55};49;0;48
37;X61443|TRBV7-2*05|Homo sapiens|F|V-REGION|192..475|284 nt|1| | | | |284+0=284| Discovered in Data, Possible Error, Not found in BLAST | |;69;-234;{};{};{4,6,7,12,16,26,30,35,36,49,51,52,53,54,55};49;0;48
37;X61440|TRBV7-3*01|Homo sapiens|F|V-REGION|748..1037|290 nt|1| | | | |290+0=290| | |;69;-234;{};{};{4,6,7,12,16,19,30,35,36,49,51,52,53,55};49;0;48
37;M97943|TRBV7-3*02|Homo sapiens|ORF|V-REGION|404..693|290 nt|1| | | | |290+0=290| | |;50;-234;{};{};{4,6,7,12,16,19,30,35,36,39,49,51,52,53,55};49;0;48
37;X74843|TRBV7-3*04|Homo sapiens|(F)|V-REGION|140..426|287 nt|1| | | | |287+0=287| Extended by 3 | |;50;-234;{};{};{4,6,7,12,16,19,26,30,35,36,49,51,52,53,55};49;0;48
37;L36092|TRBV7-4*01|Homo sapiens|F|V-REGION|270051..270340|290 nt|1| | | | |290+0=290| | |;50;-234;{};{};{4,6,7,12,16,19,29,30,35,36,49,51,52,53,54,55};49;0;48
37;M11953|TRBV7-8*01|Homo sapiens|F|V-REGION|215..504|290 nt|1| | | | |290+0=290| | |;69;-234;{};{};{4,6,7,12,16,26,30,35,36,49,51,52,53,54,55};49;0;48
37;X61441|TRBV7-8*02|Homo sapiens|F|V-REGION|497..786|290 nt|1| | | | |290+0=290| | |;50;-234;{};{};{4,6,7,12,15,16,26,30,35,36,49,51,52,53,54,55};49;0;48
37;L36092|TRBV7-9*01|Homo sapiens|F|V-REGION|364320..364609|290 nt|1| | | | |290+0=290| | |;69;-234;{};{};{4,6,7,12,16,19,26,35,36,49,51,52,53,54,55};49;0;48
37;M14261|TRBV7-9*04|Homo sapiens|(F)|V-REGION|58..342|285 nt|1| | | | |285+0=285| | |;69;-234;{};{};{4,6,7,12,16,19,26,35,36,49,51,52,53,54,55};49;0;48
37;M27385|TRBV7-9*05|Homo sapiens|(F)|V-REGION|34..321|288 nt|1| | | | |288+0=288| Edited | |;69;-234;{};{};{4,6,7,12,16,19,26,35,36,49,51,52,53,54,55};49;0;48
37;X74844|TRBV7-9*06|Homo sapiens|(F)|V-REGION|100..387|288 nt|1| | | | |288+0=288| Edited | |;69;-234;{};{};{4,6,7,12,16,19,26,35,36,49,51,52,53,54,55};49;0;48
37;L14854|TRBV7-9*07|Homo sapiens|(F)|V-REGION|1..203|203 nt|1| | | | |203+0=203| Edited | |;50;-150;{};{};{4,6,7,12,15,16,19,26,35,36,49,51,52,53,54,55};49;0;48
38;M33233|TRBV11-1*01|Homo sapiens|F|V-REGION|747..1036|290 nt|1| | | | |290+0=290| | |;105;-228;{};{};{2,4,13,14,15,18,22,23,25,36,60,61};60;0;59
38;U66059|TRBV11-2*01|Homo sapiens|F|V-REGION|248813..249102|290 nt|1| | | | |290+0=290| | |;143;-228;{};{};{2,4,13,14,15,18,22,23,60,61};60;0;59
38;M33235|TRBV11-2*02|Homo sapiens|[F]|V-REGION|171..455|285 nt|1| | | | |285+0=285| Edited and Extended, partial in 3'| |;124;-228;{};{};{2,4,13,14,15,18,22,23,27,60,61};60;0;59
38;X58796|TRBV11-2*03|Homo sapiens|(F)|V-REGION|81..365|285 nt|1| | | | |285+0=285| | |;124;-228;{};{};{2,4,11,13,14,15,18,22,23,60,61};60;0;59
38;U03115|TRBV11-3*01|Homo sapiens|F|V-REGION|25513..25802|290 nt|1| | | | |290+0=290| | |;124;-228;{};{};{2,4,13,14,15,18,22,23,25,60,61};60;0;59
38;X06936|TRBV12-2*01|Homo sapiens|P|V-REGION|391..677|287 nt|1| | | | |287+0=287|partial in 5'| |;112;-225;{};{};{4,13,14,15,18,25,42,50,53,54,60,61};50;0;49
38;U03115|TRBV17*01|Homo sapiens|ORF|V-REGION|72572..72858|287 nt|1| | | | |287+0=287| | |;54;-228;{};{};{4,11,13,15,18,22,24,25,32,46,47,48,49,50,54,56,57,58};46;0;45
38;U66059|TRBV2*01|Homo sapiens|F|V-REGION|93697..93986|290 nt|1| | | | |290+0=290| | |;85;-228;{};{};{4,10,12,13,18,22,32,36,41,42,56,57,58,60,61};56;0;55
38;M64351|TRBV2*03|Homo sapiens|(F)|V-REGION|82..369|288 nt|1| | | | |288+0=288| Extended by 2 | |;85;-228;{};{};{4,10,12,13,18,22,32,36,41,42,56,57,58,60,61};56;0;55
38;L36092|TRBV29-1*01|Homo sapiens|F|V-REGION|574270..574559|290 nt|1| | | | |290+0=290| | |;55;-54;{};{};{12,14,15,16,18,19,20,21,23,24,25,26,27,29,30,31,32,33,36,39,40,41,42,47,48,49,51,53,54,55,56,57,58,60,61,63,64,66,68,70,72,74,75,76,77,78,80,81,82,83,85,86};12;0;11
38;M13847|TRBV29-1*02|Homo sapiens|(F)|V-REGION|17..304|288 nt|1| | | | |288+0=288| | |;55;-54;{};{};{12,14,15,16,18,19,20,21,23,24,25,26,27,29,30,31,32,33,36,39,40,41,42,47,48,49,51,53,54,55,56,57,58,60,61,63,64,66,68,70,72,74,75,76,77,78,80,81,82,83,85,86};12;0;11
38;X61444|TRBV7-1*01|Homo sapiens|ORF|V-REGION|1332..1621|290 nt|1| | | | |290+0=290| | |;190;-228;{};{};{4,6,25,31,35,58,60,61};58;0;57
38;X61442|TRBV7-2*01|Homo sapiens|F|V-REGION|545..834|290 nt|1| | | | |290+0=290| | |;295;-228;{};{};{60,61};60;0;59
38;X61443|TRBV7-2*02|Homo sapiens|F|V-REGION|192..475|284 nt|1| | | | |284+0=284| Extended by 6 | |;295;-228;{};{};{60,61};60;0;59
38;U07975|TRBV7-2*03|Homo sapiens|F|V-REGION|7806..8090|285 nt|1| | | | |285+0=285| Extended by 2 | |;276;-225;{};{};{48,60,61};60;0;59
38;X61443|TRBV7-2*05|Homo sapiens|F|V-REGION|192..475|284 nt|1| | | | |284+0=284| Discovered in Data, Possible Error, Not found in BLAST | |;276;-228;{};{};{18,60,61};60;0;59
38;X61440|TRBV7-3*01|Homo sapiens|F|V-REGION|748..1037|290 nt|1| | | | |290+0=290| | |;205;-228;{};{};{4,18,22,25,32,61};61;0;60
38;M97943|TRBV7-3*02|Homo sapiens|ORF|V-REGION|404..693|290 nt|1| | | | |290+0=290| | |;205;-228;{};{};{4,18,25,32,45,61};61;0;60
38;AF009660|TRBV7-3*03|Homo sapiens|ORF|V-REGION|39374..39663|290 nt|1| | | | |290+0=290| | |;186;-228;{};{};{4,18,25,32,37,45,61};61;0;60
38;X74843|TRBV7-3*04|Homo sapiens|(F)|V-REGION|140..426|287 nt|1| | | | |287+0=287| Extended by 3 | |;205;-228;{};{};{4,18,22,25,32,61};61;0;60
38;L36092|TRBV7-4*01|Homo sapiens|F|V-REGION|270051..270340|290 nt|1| | | | |290+0=290| | |;200;-228;{};{};{4,18,25,32,35,60,61};60;0;59
38;L36092|TRBV7-6*01|Homo sapiens|F|V-REGION|307097..307386|290 nt|1| | | | |290+0=290| | |;200;-228;{};{};{18,24,25,36,43,60,61};60;0;59
38;L36092|TRBV7-7*01|Homo sapiens|F|V-REGION|326549..326838|290 nt|1| | | | |290+0=290| | |;162;-228;{};{};{8,18,24,25,32,36,43,60,61};60;0;59
38;L36092|TRBV7-7*03|Homo sapiens|F|V-REGION|326549..326838|290 nt|1| | | | |290+0=290| Discovered Allele in Data | Found by BLAST |;143;-228;{};{};{8,18,24,25,32,36,43,50,60,61};60;0;59
38;M11953|TRBV7-8*01|Homo sapiens|F|V-REGION|215..504|290 nt|1| | | | |290+0=290| | |;257;-228;{};{};{4,32,60,61};60;0;59
38;X61441|TRBV7-8*02|Homo sapiens|F|V-REGION|497..786|290 nt|1| | | | |290+0=290| | |;238;-228;{};{};{4,21,32,60,61};60;0;59
38;L36092|TRBV7-9*01|Homo sapiens|F|V-REGION|364320..364609|290 nt|1| | | | |290+0=290| | |;200;-228;{};{};{0,3,4,18,25,36,60,61};60;0;59
38;M14261|TRBV7-9*04|Homo sapiens|(F)|V-REGION|58..342|285 nt|1| | | | |285+0=285| | |;200;-228;{};{};{0,3,4,18,25,36,60,61};60;0;59
38;M27385|TRBV7-9*05|Homo sapiens|(F)|V-REGION|34..321|288 nt|1| | | | |288+0=288| Edited | |;200;-228;{};{};{0,3,4,18,25,36,60,61};60;0;59
38;X74844|TRBV7-9*06|Homo sapiens|(F)|V-REGION|100..387|288 nt|1| | | | |288+0=288| Edited | |;200;-228;{};{};{0,3,4,18,25,36,60,61};60;0;59
38;L14854|TRBV7-9*07|Homo sapiens|(F)|V-REGION|1..203|203 nt|1| | | | |203+0=203| Edited | |;181;-144;{};{};{0,3,4,18,21,25,36,60,61};60;0;59
39;M11955|TRBV20-1*01|Homo sapiens|F|V-REGION|427..719|293 nt|1| | | | |293+0=293| | |;260;-237;{};{};{53,54};53;0;52
40;U03115|TRBV10-3*01|Homo sapiens|F|V-REGION|14880..15166|287 nt|1| | | | |287+0=287| | |;94;-228;{};{};{1,14,16,19,21,22,33,39,49,54,55,56,57,58};54;0;53
40;U17047|TRBV10-3*02|Homo sapiens|F|V-REGION|84..365|282 nt|1| | | | |282+0=282| Extended by 2 | |;94;-225;{};{};{1,14,16,19,21,22,33,39,49,54,55,56,57,58};54;0;53
40;M11951|TRBV24-1*01|Homo sapiens|F|V-REGION|189..476|288 nt|1| | | | |288+0=288| | |;56;-228;{};{};{0,1,2,5,11,16,18,30,33,35,39,49,54,55,56,57,58};54;0;53
40;L36092|TRBV26*01|Homo sapiens|P|V-REGION|529534..529820|287 nt|1| | | | |287+0=287| | |;132;-228;{};{};{1,2,6,11,33,38,43,54,56,57,58};54;0;53
40;L36092|TRBV27*01|Homo sapiens|F|V-REGION|549224..549510|287 nt|1| | | | |287+0=287| | |;132;-228;{};{};{2,11,12,18,29,33,39,54,55,56,57,58};54;0;53
40;U08314|TRBV28*01|Homo sapiens|F|V-REGION|408..694|287 nt|1| | | | |287+0=287| | |;265;-228;{};{};{54,55,56,57};54;0;53
40;U66059|TRBV9*01|Homo sapiens|F|V-REGION|206836..207121|286 nt|1| | | | |286+0=286| | |;50;-1;{};{};{11,12,13,16,17,18,21,23,24,25,26,29,31,32,33,34,35,36,38,40,41,42,43,44,46,51,52,53,54,55,56,59,60,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,80,82,83,84,85,86};11;0;10
41;U03115|TRBV13*01|Homo sapiens|F|V-REGION|6502..6788|287 nt|1| | | | |287+0=287| | |;102;-234;{};{};{1,3,9,10,23,32,33,48,49,50};48;0;47
41;U07977|TRBV4-1*01|Homo sapiens|F|V-REGION|10271..10554|284 nt|1| | | | |284+0=284|partial in 5' and 3'| |;69;-231;{};{};{0,6,9,10,13,14,16,17,23,38,49,50,52};49;0;48
41;U07975|TRBV4-2*01|Homo sapiens|F|V-REGION|480..763|284 nt|1| | | | |284+0=284|partial in 5' and 3'| |;88;-231;{};{};{0,3,6,9,10,13,14,16,17,49,50,52};49;0;48
41;U07978|TRBV4-3*01|Homo sapiens|F|V-REGION|20943..21226|284 nt|1| | | | |284+0=284|partial in 5' and 3'| |;69;-231;{};{};{0,3,6,9,10,13,14,16,17,38,49,50,52};49;0;48
41;X58812|TRBV4-3*02|Homo sapiens|(F)|V-REGION|73..354|282 nt|1| | | | |282+0=282| Extended by 5 | |;69;-234;{};{};{0,3,6,9,10,13,14,16,17,38,49,50,52};49;0;48
41;U66059|TRBV5-1*01|Homo sapiens|F|V-REGION|113806..114091|286 nt|1| | | | |286+0=286| | |;102;-234;{};{};{1,3,9,10,29,35,38,48,49};48;0;47
41;X61439|TRBV5-3*01|Homo sapiens|ORF|V-REGION|417..702|286 nt|1| | | | |286+0=286| | |;140;-234;{};{};{1,2,9,10,44,48,49};48;0;47
41;AF009660|TRBV5-3*02|Homo sapiens|ORF|V-REGION|44205..44490|286 nt|1| | | | |286+0=286| | |;140;-234;{};{};{1,2,9,10,44,48,49};48;0;47
41;L36092|TRBV5-4*01|Homo sapiens|F|V-REGION|278005..278290|286 nt|1| | | | |286+0=286| | |;159;-234;{};{};{9,10,16,17,48,49};48;0;47
41;X57615|TRBV5-4*02|Homo sapiens|(F)|V-REGION|65..346|282 nt|1| | | | |282+0=282| Extended by 4 | |;159;-234;{};{};{9,10,16,17,48,49};48;0;47
41;L36092|TRBV5-5*01|Homo sapiens|F|V-REGION|297450..297735|286 nt|1| | | | |286+0=286| | |;235;-234;{};{};{48,49};48;0;47
41;L36092|TRBV5-6*01|Homo sapiens|F|V-REGION|314963..315248|286 nt|1| | | | |286+0=286| | |;216;-234;{};{};{29,48,49};48;0;47
41;L36092|TRBV5-7*01|Homo sapiens|ORF|V-REGION|334981..335266|286 nt|1| | | | |286+0=286| | |;197;-234;{};{};{14,29,48,49};48;0;47
41;L36092|TRBV5-8*01|Homo sapiens|F|V-REGION|355117..355402|286 nt|1| | | | |286+0=286| | |;178;-234;{};{};{9,10,16,48,49};48;0;47
42;U66059|TRBV10-1*01|Homo sapiens|F|V-REGION|214801..215087|287 nt|1| | | | |287+0=287| | |;98;-231;{};{};{8,12,15,16,32,35,41,46,51,53,54,55};51;0;50
42;AF009660|TRBV10-1*02|Homo sapiens|F|V-REGION|54913..55199|287 nt|1| | | | |287+0=287| | |;98;-231;{};{};{8,12,15,16,32,35,41,46,51,53,54,55};51;0;50
42;AF009660|TRBV10-1*04|Homo sapiens|F|V-REGION|54913..55199|287 nt|1| Found in Data! Indiv 7. Also found by BLAST | | | |287+0=287| | |;79;-231;{};{};{3,8,12,15,16,32,35,41,46,51,53,54,55};51;0;50
42;U66059|TRBV10-2*01|Homo sapiens|F|V-REGION|239867..240153|287 nt|1| | | | |287+0=287| | |;155;-231;{};{};{8,15,35,41,46,51,53,54,55};51;0;50
42;U03115|TRBV10-3*01|Homo sapiens|F|V-REGION|14880..15166|287 nt|1| | | | |287+0=287| | |;250;-231;{};{};{51,53,54,55};51;0;50
42;U17047|TRBV10-3*02|Homo sapiens|F|V-REGION|84..365|282 nt|1| | | | |282+0=282| Extended by 2 | |;250;-228;{};{};{51,53,54,55};51;0;50
42;U08314|TRBV28*01|Homo sapiens|F|V-REGION|408..694|287 nt|1| | | | |287+0=287| | |;98;-231;{};{};{11,13,16,18,19,30,36,46,51,52,54,55};51;0;50
42;X61446|TRBV6-1*01|Homo sapiens|F|V-REGION|412..698|287 nt|1| | | | |287+0=287| | |;136;-231;{};{};{8,12,14,15,16,46,51,54,55};51;0;50
42;X61445|TRBV6-2*01|Homo sapiens|F|V-REGION|412..698|287 nt|1| | | | |287+0=287| | |;117;-231;{};{};{0,8,12,14,15,16,23,46,51,53,54,55};51;0;50
42;U07978|TRBV6-3*01|Homo sapiens|F|V-REGION|29129..29415|287 nt|1| | | | |287+0=287| | |;117;-231;{};{};{0,8,12,14,15,16,23,46,51,53,54,55};51;0;50
42;X61653|TRBV6-4*01|Homo sapiens|F|V-REGION|426..712|287 nt|1| | | | |287+0=287| | |;79;-231;{};{};{0,4,8,12,13,14,15,16,20,46,51,53,54,55};51;0;50
42;U66059|TRBV6-5*01|Homo sapiens|F|V-REGION|265870..266156|287 nt|1| | | | |287+0=287| | |;98;-231;{};{};{3,4,8,12,14,15,16,46,51,53,54,55};51;0;50
42;L36092|TRBV6-6*01|Homo sapiens|F|V-REGION|284442..284728|287 nt|1| | | | |287+0=287| | |;117;-231;{};{};{7,8,12,14,15,16,46,51,53,54,55};51;0;50
42;AF009662|TRBV6-6*02|Homo sapiens|F|V-REGION|24864..25150|287 nt|1| | | | |287+0=287| | |;117;-231;{};{};{7,8,12,14,15,16,46,51,53,54,55};51;0;50
42;L36092|TRBV6-7*01|Homo sapiens|ORF|V-REGION|302725..303011|287 nt|1| | | | |287+0=287| | |;79;-231;{};{};{8,12,14,15,16,20,26,32,46,51,53,54,55};51;0;50
42;L36092|TRBV6-8*01|Homo sapiens|F|V-REGION|322240..322523|284 nt|1| | | | |284+0=284| | |;98;-228;{};{};{4,8,12,14,15,16,38,46,51,53,54,55};51;0;50
42;X61447|TRBV6-9*01|Homo sapiens|F|V-REGION|380..666|287 nt|1| | | | |287+0=287| | |;117;-231;{};{};{8,12,14,15,16,32,46,51,53,54,55};51;0;50
43;M33233|TRBV11-1*01|Homo sapiens|F|V-REGION|747..1036|290 nt|1| | | | |290+0=290| | |;107;-237;{};{};{4,5,6,13,14,23,27,49,50,51,52};49;0;48
43;U66059|TRBV11-2*01|Homo sapiens|F|V-REGION|248813..249102|290 nt|1| | | | |290+0=290| | |;88;-237;{};{};{4,5,6,9,13,14,16,23,49,50,51};49;0;48
43;M33235|TRBV11-2*02|Homo sapiens|[F]|V-REGION|171..455|285 nt|1| | | | |285+0=285| Edited and Extended, partial in 3'| |;69;-237;{};{};{4,5,6,9,13,14,16,18,23,49,50,51};49;0;48
43;X58796|TRBV11-2*03|Homo sapiens|(F)|V-REGION|81..365|285 nt|1| | | | |285+0=285| | |;69;-237;{};{};{2,4,5,6,9,13,14,16,23,49,50,51};49;0;48
43;U03115|TRBV11-3*01|Homo sapiens|F|V-REGION|25513..25802|290 nt|1| | | | |290+0=290| | |;126;-237;{};{};{4,5,6,13,14,23,49,50,51};49;0;48
43;X06936|TRBV12-2*01|Homo sapiens|P|V-REGION|391..677|287 nt|1| | | | |287+0=287|partial in 5'| |;86;-234;{};{};{4,5,6,13,23,33,41,44,45,49,50,51,52};41;0;40
43;X07192|TRBV12-3*01|Homo sapiens|F|V-REGION|426..715|290 nt|1| | | | |290+0=290| | |;59;-237;{};{};{4,6,11,13,14,15,26,32,33,47,49,50,51,52};47;0;46
43;K02546|TRBV12-4*01|Homo sapiens|F|V-REGION|158..447|290 nt|1| | | | |290+0=290| | |;59;-237;{};{};{4,6,11,13,14,15,26,32,33,47,49,50,51,52};47;0;46
43;M14264|TRBV12-4*02|Homo sapiens|(F)|V-REGION|58..345|288 nt|1| | | | |288+0=288| | |;59;-237;{};{};{4,6,11,13,14,15,26,32,33,47,49,50,51,52};47;0;46
43;U03115|TRBV17*01|Homo sapiens|ORF|V-REGION|72572..72858|287 nt|1| | | | |287+0=287| | |;85;-237;{};{};{2,4,6,13,15,37,38,39,40,41,45,47,48,49};37;0;36
43;U66059|TRBV2*01|Homo sapiens|F|V-REGION|93697..93986|290 nt|1| | | | |290+0=290| | |;59;-237;{};{};{1,3,4,9,13,16,27,32,33,47,48,49,50,51,52};47;0;46
43;M64351|TRBV2*03|Homo sapiens|(F)|V-REGION|82..369|288 nt|1| | | | |288+0=288| Extended by 2 | |;59;-237;{};{};{1,3,4,9,13,16,27,32,33,47,48,49,50,51,52};47;0;46
43;L36092|TRBV5-8*01|Homo sapiens|F|V-REGION|355117..355402|286 nt|1| | | | |286+0=286| | |;50;-234;{};{};{0,2,3,4,6,7,8,13,16,23,27,49,50,51};49;0;48
43;X61444|TRBV7-1*01|Homo sapiens|ORF|V-REGION|1332..1621|290 nt|1| | | | |290+0=290| | |;150;-237;{};{};{9,13,22,23,26,50,51,52};50;0;49
43;X61442|TRBV7-2*01|Homo sapiens|F|V-REGION|545..834|290 nt|1| | | | |290+0=290| | |;164;-237;{};{};{9,13,16,23,49,50,51,52};49;0;48
43;X61443|TRBV7-2*02|Homo sapiens|F|V-REGION|192..475|284 nt|1| | | | |284+0=284| Extended by 6 | |;164;-237;{};{};{9,13,16,23,49,50,51,52};49;0;48
43;U07975|TRBV7-2*03|Homo sapiens|F|V-REGION|7806..8090|285 nt|1| | | | |285+0=285| Extended by 2 | |;145;-234;{};{};{9,13,16,23,39,49,50,51,52};49;0;48
43;X61443|TRBV7-2*05|Homo sapiens|F|V-REGION|192..475|284 nt|1| | | | |284+0=284| Discovered in Data, Possible Error, Not found in BLAST | |;164;-237;{};{};{9,13,16,23,49,50,51,52};49;0;48
43;X61440|TRBV7-3*01|Homo sapiens|F|V-REGION|748..1037|290 nt|1| | | | |290+0=290| | |;240;-237;{};{};{49,50,51,52};49;0;48
43;M97943|TRBV7-3*02|Homo sapiens|ORF|V-REGION|404..693|290 nt|1| | | | |290+0=290| | |;202;-237;{};{};{13,36,49,50,51,52};49;0;48
43;AF009660|TRBV7-3*03|Homo sapiens|ORF|V-REGION|39374..39663|290 nt|1| | | | |290+0=290| | |;183;-237;{};{};{13,28,36,49,50,51,52};49;0;48
43;X74843|TRBV7-3*04|Homo sapiens|(F)|V-REGION|140..426|287 nt|1| | | | |287+0=287| Extended by 3 | |;221;-237;{};{};{23,49,50,51,52};49;0;48
43;L36092|TRBV7-4*01|Homo sapiens|F|V-REGION|270051..270340|290 nt|1| | | | |290+0=290| | |;202;-237;{};{};{13,26,49,50,51,52};49;0;48
43;L36092|TRBV7-6*01|Homo sapiens|F|V-REGION|307097..307386|290 nt|1| | | | |290+0=290| | |;145;-237;{};{};{13,15,23,27,34,49,50,51,52};49;0;48
43;L36092|TRBV7-7*01|Homo sapiens|F|V-REGION|326549..326838|290 nt|1| | | | |290+0=290| | |;164;-237;{};{};{13,15,27,34,49,50,51,52};49;0;48
43;L36092|TRBV7-7*03|Homo sapiens|F|V-REGION|326549..326838|290 nt|1| | | | |290+0=290| Discovered Allele in Data | Found by BLAST |;145;-237;{};{};{13,15,27,34,41,49,50,51,52};49;0;48
43;M11953|TRBV7-8*01|Homo sapiens|F|V-REGION|215..504|290 nt|1| | | | |290+0=290| | |;164;-237;{};{};{9,13,16,23,49,50,51,52};49;0;48
43;X61441|TRBV7-8*02|Homo sapiens|F|V-REGION|497..786|290 nt|1| | | | |290+0=290| | |;145;-237;{};{};{9,12,13,16,23,49,50,51,52};49;0;48
43;L36092|TRBV7-9*01|Homo sapiens|F|V-REGION|364320..364609|290 nt|1| | | | |290+0=290| | |;183;-237;{};{};{13,23,27,49,50,51,52};49;0;48
43;M14261|TRBV7-9*04|Homo sapiens|(F)|V-REGION|58..342|285 nt|1| | | | |285+0=285| | |;183;-237;{};{};{13,23,27,49,50,51,52};49;0;48
43;M27385|TRBV7-9*05|Homo sapiens|(F)|V-REGION|34..321|288 nt|1| | | | |288+0=288| Edited | |;183;-237;{};{};{13,23,27,49,50,51,52};49;0;48
43;X74844|TRBV7-9*06|Homo sapiens|(F)|V-REGION|100..387|288 nt|1| | | | |288+0=288| Edited | |;183;-237;{};{};{13,23,27,49,50,51,52};49;0;48
43;L14854|TRBV7-9*07|Homo sapiens|(F)|V-REGION|1..203|203 nt|1| | | | |203+0=203| Edited | |;164;-153;{};{};{12,13,23,27,49,50,51,52};49;0;48
43;U66059|TRBV9*01|Homo sapiens|F|V-REGION|206836..207121|286 nt|1| | | | |286+0=286| | |;52;-233;{};{241};{0,4,6,8,13,26,27,33,48,49,50,51};49;0;47
44;U03115|TRBV13*01|Homo sapiens|F|V-REGION|6502..6788|287 nt|1| | | | |287+0=287| | |;157;-228;{};{};{3,11,12,32,33,38,54};59;0;58
44;U07977|TRBV3-1*01|Homo sapiens|F|V-REGION|5651..5934|284 nt|1| | | | |284+0=284|partial in 5' and 3'| |;94;-225;{};{};{0,3,5,7,8,11,20,23,29,33,54,55,58};54;0;53
44;L06889|TRBV3-1*02|Homo sapiens|(F)|V-REGION|58..336|279 nt|1| | | | |279+0=279| Extended by 8 | |;94;-228;{};{};{0,3,5,7,8,11,20,23,29,33,54,55,58};54;0;53
44;U66059|TRBV3-2*01|Homo sapiens|P|V-REGION|152052..152338|287 nt|1| | | | |287+0=287| | |;94;-228;{};{};{0,3,5,7,8,11,20,23,29,33,54,55,58};54;0;53
44;U07978|TRBV3-2*02|Homo sapiens|P|V-REGION|17502..17787|286 nt|1| | | | |286+0=286| Extended by 1 | |;94;-228;{};{};{0,3,5,7,8,11,20,23,29,33,54,55,58};54;0;53
44;X61439|TRBV5-3*01|Homo sapiens|ORF|V-REGION|417..702|286 nt|1| | | | |286+0=286| | |;56;-228;{};{};{2,3,8,9,11,12,29,32,33,39,50,54,56};54;0;53
44;AF009660|TRBV5-3*02|Homo sapiens|ORF|V-REGION|44205..44490|286 nt|1| | | | |286+0=286| | |;56;-228;{};{};{2,3,8,9,11,12,29,32,33,39,50,54,56};54;0;53
44;L36092|TRBV5-8*01|Homo sapiens|F|V-REGION|355117..355402|286 nt|1| | | | |286+0=286| | |;56;-228;{};{};{2,3,7,9,11,12,22,29,32,33,39,54,56};54;0;53
44;U66059|TRBV9*01|Homo sapiens|F|V-REGION|206836..207121|286 nt|1| | | | |286+0=286| | |;285;-228;{};{};{};58;0;57
45;U03115|TRBV13*01|Homo sapiens|F|V-REGION|6502..6788|287 nt|1| | | | |287+0=287| | |;136;-231;{};{};{0,4,6,19,26,35,36,51,53};51;0;50
45;U07977|TRBV4-1*01|Homo sapiens|F|V-REGION|10271..10554|284 nt|1| | | | |284+0=284|partial in 5' and 3'| |;79;-228;{};{};{0,2,3,9,12,16,17,20,26,41,51,52,53,55};51;0;50
45;U07975|TRBV4-2*01|Homo sapiens|F|V-REGION|480..763|284 nt|1| | | | |284+0=284|partial in 5' and 3'| |;98;-228;{};{};{0,2,3,6,9,12,16,17,20,51,52,53,55};51;0;50
45;U07978|TRBV4-3*01|Homo sapiens|F|V-REGION|20943..21226|284 nt|1| | | | |284+0=284|partial in 5' and 3'| |;79;-228;{};{};{0,2,3,6,9,12,16,17,20,41,51,52,53,55};51;0;50
45;X58812|TRBV4-3*02|Homo sapiens|(F)|V-REGION|73..354|282 nt|1| | | | |282+0=282| Extended by 5 | |;79;-231;{};{};{0,2,3,6,9,12,16,17,20,41,51,52,53,55};51;0;50
45;U66059|TRBV5-1*01|Homo sapiens|F|V-REGION|113806..114091|286 nt|1| | | | |286+0=286| | |;137;-231;{};{};{4,6,19,32,38,41,51};55;0;54
45;X61439|TRBV5-3*01|Homo sapiens|ORF|V-REGION|417..702|286 nt|1| | | | |286+0=286| | |;175;-231;{};{};{4,5,19,47,51};55;0;54
45;AF009660|TRBV5-3*02|Homo sapiens|ORF|V-REGION|44205..44490|286 nt|1| | | | |286+0=286| | |;175;-231;{};{};{4,5,19,47,51};55;0;54
45;L36092|TRBV5-4*01|Homo sapiens|F|V-REGION|278005..278290|286 nt|1| | | | |286+0=286| | |;232;-231;{};{};{20,51};55;0;54
45;X57615|TRBV5-4*02|Homo sapiens|(F)|V-REGION|65..346|282 nt|1| | | | |282+0=282| Extended by 4 | |;232;-231;{};{};{20,51};55;0;54
45;L36092|TRBV5-5*01|Homo sapiens|F|V-REGION|297450..297735|286 nt|1| | | | |286+0=286| | |;194;-231;{};{};{12,13,19,51};55;0;54
45;L36092|TRBV5-6*01|Homo sapiens|F|V-REGION|314963..315248|286 nt|1| | | | |286+0=286| | |;175;-231;{};{};{12,13,19,32,51};55;0;54
45;L36092|TRBV5-7*01|Homo sapiens|ORF|V-REGION|334981..335266|286 nt|1| | | | |286+0=286| | |;156;-231;{};{};{12,13,17,19,32,51};55;0;54
45;L36092|TRBV5-8*01|Homo sapiens|F|V-REGION|355117..355402|286 nt|1| | | | |286+0=286| | |;251;-231;{};{};{51};55;0;54
45;U66059|TRBV9*01|Homo sapiens|F|V-REGION|206836..207121|286 nt|1| | | | |286+0=286| | |;89;-231;{};{};{0,4,6,8,9,19,26,29,30,36,53};53;0;52
46;U66061|TRBV30*01|Homo sapiens|F|V-REGION|214317..214600|284 nt|1| | | | |284+0=284| |rev-compl|;260;-231;{};{};{};53;0;52
